Time (s)	Load (gf)	Displacement (mm)
22,48	4	2,236
22,498	4	2,238
22,511	4	2,24
22,53	4	2,241
22,543	4	2,244
22,57	4	2,245
22,583	4	2,246
22,595	4	2,249
22,618	4	2,251
22,638	4	2,253
22,664	4	2,255
22,682	4	2,256
22,694	4	2,258
22,706	4	2,259
22,722	4	2,262
22,758	4	2,264
22,775	4	2,266
22,787	4	2,267
22,799	4	2,268
22,811	4	2,269
22,823	4	2,27
22,835	4	2,272
22,846	4	2,273
22,859	4	2,274
22,871	4	2,275
22,883	4	2,276
22,895	4	2,278
22,907	4	2,279
22,919	4	2,28
22,932	4	2,283
22,963	4	2,287
22,999	4	2,288
23,014	4	2,29
23,033	4	2,292
23,045	4	2,293
23,062	4	2,295
23,081	4	2,296
23,093	4	2,298
23,106	4	2,3
23,129	4	2,301
23,141	4	2,303
23,159	4	2,304
23,171	4	2,305
23,183	4	2,309
23,221	4	2,312
23,247	4	2,314
23,266	4	2,315
23,279	4	2,316
23,291	4	2,318
23,313	4	2,32
23,333	4	2,324
23,366	4	2,325
23,379	4	2,326
23,391	4	2,327
23,403	4	2,328
23,415	4	2,331
23,442	4	2,333
23,466	4	2,335
23,479	4	2,337
23,503	4	2,339
23,525	4	2,341
23,538	4	2,342
23,55	4	2,343
23,566	4	2,347
23,601	4	2,349
23,622	4	2,35
23,635	4	2,352
23,654	4	2,354
23,666	4	2,356
23,687	4	2,357
23,7	4	2,359
23,722	4	2,36
23,734	4	2,362
23,756	4	2,364
23,774	4	2,365
23,786	4	2,366
23,798	4	2,37
23,834	4	2,372
23,846	4	2,373
23,863	4	2,376
23,888	4	2,377
23,903	4	2,379
23,919	4	2,38
23,937	4	2,383
23,958	4	2,384
23,976	4	2,386
23,995	4	2,388
24,01	4	2,391
24,047	4	2,393
24,06	4	2,394
24,072	4	2,395
24,084	4	2,396
24,096	4	2,398
24,108	4	2,399
24,12	4	2,4
24,132	4	2,401
24,239	4	2,412
24,252	4	2,413
24,273	4	2,415
24,286	4	2,417
24,303	4	2,418
24,316	4	2,42
24,328	4	2,422
24,351	4	2,423
24,364	4	2,425
24,381	4	2,426
